dates,I
2014-04-07,1
2014-04-15,1
2014-04-21,2
2014-04-26,1
2014-05-01,2
2014-05-03,1
2014-05-05,1
2014-05-06,2
2014-05-07,2
2014-05-08,2
2014-05-09,2
2014-05-10,1
2014-05-11,1
2014-05-12,3
2014-05-13,2
2014-05-14,1
2014-05-16,2
2014-05-17,3
2014-05-18,2
2014-05-19,3
2014-05-20,1
2014-05-21,3
2014-05-22,1
2014-05-24,1
2014-05-25,2
2014-05-26,3
2014-05-27,8
2014-05-28,1
2014-05-29,1
2014-05-30,1
2014-05-31,1
2014-06-02,3
2014-06-03,1
2014-06-05,1
2014-06-06,3
2014-06-07,4
2014-06-08,1
2014-06-09,4
2014-06-10,1
2014-06-11,2
2014-06-13,1
2014-06-14,1
2014-06-15,4
2014-06-16,4
2014-06-17,2
2014-06-18,1
2014-06-19,3
2014-06-20,6
2014-06-21,2
2014-06-22,4
2014-06-23,2
2014-06-24,1
2014-06-25,3
2014-06-26,3
2014-06-28,2
2014-06-29,2
2014-06-30,5
2014-07-01,3
2014-07-02,3
2014-07-03,4
2014-07-04,6
2014-07-05,3
2014-07-06,2
2014-07-07,2
2014-07-08,5
2014-07-09,7
2014-07-10,3
2014-07-11,3
2014-07-12,4
2014-07-13,6
2014-07-14,8
2014-07-15,8
2014-07-16,4
2014-07-17,6
2014-07-18,7
2014-07-19,5
2014-07-20,10
2014-07-21,4
2014-07-22,5
2014-07-23,6
2014-07-24,8
2014-07-25,10
2014-07-26,5
2014-07-27,11
2014-07-28,5
2014-07-29,12
2014-07-30,10
2014-07-31,6
2014-08-01,6
2014-08-02,10
2014-08-03,9
2014-08-04,11
2014-08-05,14
2014-08-06,6
2014-08-07,7
2014-08-08,8
2014-08-09,8
2014-08-10,13
2014-08-11,9
2014-08-12,5
2014-08-13,13
2014-08-14,9
2014-08-15,15
2014-08-16,24
2014-08-17,8
2014-08-18,9
2014-08-19,12
2014-08-20,15
2014-08-21,11
2014-08-22,22
2014-08-23,14
2014-08-24,18
2014-08-25,15
2014-08-26,13
2014-08-27,21
2014-08-28,18
2014-08-29,20
2014-08-30,17
2014-08-31,14
2014-09-01,27
2014-09-02,17
2014-09-03,22
2014-09-04,22
2014-09-05,16
2014-09-06,27
2014-09-07,23
2014-09-08,25
2014-09-09,30
2014-09-10,15
2014-09-11,24
2014-09-12,27
2014-09-13,28
2014-09-14,31
2014-09-15,33
2014-09-16,42
2014-09-17,27
2014-09-18,25
2014-09-19,28
2014-09-20,46
2014-09-21,38
2014-09-22,24
2014-09-23,48
2014-09-24,28
2014-09-25,32
2014-09-26,26
2014-09-27,31
2014-09-28,32
2014-09-29,28
2014-09-30,31
2014-10-01,36
2014-10-02,40
2014-10-03,22
2014-10-04,36
2014-10-05,29
2014-10-06,34
2014-10-07,27
2014-10-08,36
2014-10-09,21
2014-10-10,27
2014-10-11,30
2014-10-12,27
2014-10-13,31
2014-10-14,28
2014-10-15,27
2014-10-16,25
2014-10-17,20
2014-10-18,29
2014-10-19,27
2014-10-20,27
2014-10-21,26
2014-10-22,30
2014-10-23,30
2014-10-24,33
2014-10-25,18
2014-10-26,30
2014-10-27,26
2014-10-28,29
2014-10-29,12
2014-10-30,32
2014-10-31,39
2014-11-01,31
2014-11-02,29
2014-11-03,26
2014-11-04,29
2014-11-05,23
2014-11-06,26
2014-11-07,27
2014-11-08,27
2014-11-09,18
2014-11-10,21
2014-11-11,20
2014-11-12,15
2014-11-13,19
2014-11-14,22
2014-11-15,20
2014-11-16,19
2014-11-17,15
2014-11-18,14
2014-11-19,11
2014-11-20,17
2014-11-21,20
2014-11-22,22
2014-11-23,27
2014-11-24,26
2014-11-25,22
2014-11-26,13
2014-11-27,17
2014-11-28,19
2014-11-29,15
2014-11-30,19
2014-12-01,16
2014-12-02,18
2014-12-03,10
2014-12-04,26
2014-12-05,14
2014-12-06,15
2014-12-07,17
2014-12-08,13
2014-12-09,13
2014-12-10,16
2014-12-11,15
2014-12-12,18
2014-12-13,11
2014-12-14,14
2014-12-15,14
2014-12-16,12
2014-12-17,12
2014-12-18,10
2014-12-19,13
2014-12-20,8
2014-12-21,14
2014-12-22,14
2014-12-23,13
2014-12-24,12
2014-12-25,15
2014-12-26,13
2014-12-27,13
2014-12-28,8
2014-12-29,10
2014-12-30,13
2014-12-31,7
2015-01-01,10
2015-01-02,9
2015-01-03,9
2015-01-04,9
2015-01-05,11
2015-01-06,14
2015-01-07,12
2015-01-08,7
2015-01-09,12
2015-01-10,12
2015-01-11,7
2015-01-12,12
2015-01-13,11
2015-01-14,9
2015-01-15,8
2015-01-16,14
2015-01-17,13
2015-01-18,13
2015-01-19,11
2015-01-20,7
2015-01-21,10
2015-01-22,18
2015-01-23,9
2015-01-24,12
2015-01-25,10
2015-01-26,9
2015-01-27,8
2015-01-28,10
2015-01-29,6
2015-01-30,8
2015-01-31,15
2015-02-01,7
2015-02-02,13
2015-02-03,7
2015-02-04,13
2015-02-05,6
2015-02-06,6
2015-02-07,7
2015-02-08,8
2015-02-09,8
2015-02-10,8
2015-02-11,7
2015-02-12,6
2015-02-13,4
2015-02-14,7
2015-02-15,9
2015-02-16,5
2015-02-17,6
2015-02-18,8
2015-02-19,8
2015-02-20,10
2015-02-21,14
2015-02-22,9
2015-02-23,10
2015-02-24,12
2015-02-25,4
2015-02-26,5
2015-02-27,8
2015-02-28,8
2015-03-01,9
2015-03-02,8
2015-03-03,7
2015-03-04,5
2015-03-05,9
2015-03-06,8
2015-03-07,8
2015-03-08,8
2015-03-09,10
2015-03-10,7
2015-03-11,9
2015-03-12,11
2015-03-13,10
2015-03-14,7
2015-03-15,5
2015-03-16,7
2015-03-17,4
2015-03-18,5
2015-03-19,7
2015-03-20,9
2015-03-21,5
2015-03-22,3
2015-03-23,6
2015-03-24,3
2015-03-25,7
2015-03-26,6
2015-03-27,11
2015-03-28,2
2015-03-29,3
2015-03-30,3
2015-03-31,5
2015-04-01,3
2015-04-02,7
2015-04-03,10
2015-04-04,8
2015-04-05,2
2015-04-06,6
2015-04-07,3
2015-04-08,2
2015-04-09,8
2015-04-10,3
2015-04-11,5
2015-04-12,4
2015-04-13,5
2015-04-14,9
2015-04-15,2
2015-04-16,3
2015-04-17,2
2015-04-18,7
2015-04-19,2
2015-04-20,4
2015-04-21,3
2015-04-22,7
2015-04-23,4
2015-04-24,2
2015-04-25,4
2015-04-26,4
2015-04-27,6
2015-04-28,7
2015-04-29,2
2015-04-30,2
